customer_id,customer_age,education_level,marital_status,income_category,number_products_customer,weeks_tenure,contacts_last_12mths,credit_limit,card_class,inactive_months_last_12mths,total_revolving_balance,count_transactions,transactions_amount,change_transaction_amt_last_3mths,change_transaction_count_last_3mths,churn
4278,,phd,,30k€-50k€,4,216,1,16541.0,red plus,2,1428,82,4352,0.846,0.907,0
7300,45.0,graduate,single,<30k€,5,115,3,1438.3,red,3,576,66,5098,0.774,0.833,0
6857,,uneducated,married,30k€-50k€,6,172,2,2293.0,red,1,1460,74,4436,0.658,0.542,0
2508,39.0,graduate,married,70k€-110k€,5,124,2,17523.0,red,2,0,54,1974,0.424,0.688,1
7859,40.0,graduate,single,<30k€,2,107,2,4391.0,red,2,1933,36,1849,0.579,0.385,1
6965,54.0,uneducated,divorced,<30k€,6,191,1,2201.0,red,6,1420,70,4256,0.762,0.591,0
1372,37.0,high school,,70k€-110k€,5,123,3,11229.0,red,3,1054,36,1898,0.552,1.571,0
8424,50.0,graduate,married,70k€-110k€,5,146,4,7290.0,red,1,2151,29,1312,0.583,0.526,0
8582,39.0,,married,70k€-110k€,2,129,3,28687.0,red,1,1607,90,7523,0.748,0.636,0
8898,48.0,graduate,married,,3,147,4,1637.0,red,1,774,78,4120,1.126,1.0,0
9334,36.0,graduate,single,<30k€,3,112,2,5780.0,red,3,938,65,2960,0.988,0.757,0
7281,44.0,high school,,,4,140,2,15370.0,red,3,686,71,4106,0.81,1.029,0
1830,41.0,college,divorced,70k€-110k€,2,161,2,34516.0,red plus,3,2361,36,1853,0.529,0.385,1
4814,49.0,uneducated,single,<30k€,6,151,2,1438.3,red,5,754,69,4457,0.74,0.683,0
1721,,graduate,married,<30k€,2,191,1,5118.0,red,2,980,109,14593,0.786,0.627,0
398,46.0,college,single,<30k€,5,118,2,2304.0,red,1,1589,36,1273,0.872,0.895,0
8394,55.0,,divorced,70k€-110k€,2,195,2,15594.0,red,1,1590,118,13016,0.679,0.616,0
7433,55.0,graduate,married,<30k€,1,185,3,2016.0,red,4,395,44,2473,0.711,0.571,1
9617,44.0,high school,divorced,50k€-70k€,5,136,3,5926.0,red,3,1251,28,1316,0.944,1.154,0
92,52.0,high school,single,,2,213,1,7427.0,red,1,2421,91,4636,0.701,0.82,0
9878,48.0,uneducated,divorced,30k€-50k€,5,124,2,5869.0,red,3,2517,85,4166,0.505,0.809,0
2218,40.0,graduate,,<30k€,2,108,1,5325.0,red,2,2488,101,13674,0.926,0.836,0
3725,37.0,phd,single,70k€-110k€,4,147,1,34516.0,red plus,1,0,55,2681,0.711,0.618,0
722,60.0,high school,single,30k€-50k€,1,211,1,15223.0,red plus,2,1729,111,14230,0.863,0.79,0
3873,47.0,uneducated,divorced,,6,148,3,12581.0,red,2,1235,76,4427,0.611,1.303,0
5491,35.0,high school,married,50k€-70k€,6,132,2,2253.0,red,2,1667,45,1641,0.884,0.667,0
8039,36.0,uneducated,single,<30k€,4,124,0,2569.0,red,1,1605,46,1190,0.574,0.643,0
8096,36.0,graduate,divorced,<30k€,5,151,4,7492.0,red,1,1399,67,3668,0.533,0.675,0
9069,49.0,phd,single,70k€-110k€,3,168,2,34516.0,red,3,1046,76,3435,1.001,0.727,0
5469,48.0,,married,70k€-110k€,4,133,3,34516.0,red,1,1099,110,15490,0.816,0.618,0
6253,61.0,,single,30k€-50k€,3,192,2,11915.0,red,2,1631,63,1956,0.748,0.537,0
8622,,,single,30k€-50k€,6,99,4,10226.0,red,2,0,44,2243,0.614,0.571,1
9531,,graduate,married,30k€-50k€,3,72,4,3350.0,red,1,0,61,2849,1.316,0.694,0
1951,,college,single,50k€-70k€,2,95,1,3311.0,red,3,841,80,4559,0.7,0.905,0
9347,44.0,college,married,,1,110,1,7226.0,red,1,1889,71,4653,0.661,0.614,0
3668,40.0,uneducated,married,70k€-110k€,4,114,2,34516.0,red plus,3,1043,59,4654,0.69,0.639,0
4122,49.0,uneducated,single,30k€-50k€,4,160,1,1809.0,red,3,457,49,2169,0.703,0.485,1
5896,38.0,high school,married,<30k€,6,109,4,4331.0,red,1,1445,33,2053,1.07,1.75,0
8365,57.0,graduate,single,<30k€,4,196,3,5972.0,red,3,1885,65,3491,0.973,0.711,0
9014,49.0,,divorced,70k€-110k€,4,156,3,21382.0,red,2,1692,66,3060,0.731,0.65,0
3415,56.0,graduate,married,50k€-70k€,3,203,2,9033.0,red,1,845,35,1661,0.663,0.4,0
5955,31.0,high school,single,<30k€,5,99,2,12956.0,red plus,2,0,56,2492,1.053,0.931,0
10084,37.0,graduate,married,<30k€,5,135,3,2228.0,red,2,1717,61,2334,1.625,0.848,0
4784,56.0,graduate,married,,6,147,1,5842.0,red,3,198,44,1828,0.396,0.517,1
1962,48.0,graduate,,30k€-50k€,2,141,6,9080.0,red,3,2174,46,2098,0.653,0.586,1
6827,56.0,high school,single,50k€-70k€,5,223,3,34516.0,red plus,5,1642,95,14954,0.709,0.696,0
6486,43.0,college,married,<30k€,2,161,1,6797.0,red,3,2239,112,16171,0.922,0.778,0
5899,42.0,high school,single,30k€-50k€,6,154,3,8135.0,red,1,0,29,1716,1.373,0.812,0
881,62.0,high school,married,,2,228,2,8990.0,red,1,0,19,747,0.935,0.583,1
3499,37.0,phd,married,,3,148,4,9843.0,red,2,2154,35,1402,0.733,0.667,0
7868,43.0,high school,divorced,<30k€,6,123,1,2579.0,red,2,1959,69,4300,0.618,0.683,0
8175,53.0,high school,single,,3,147,3,4396.0,red,6,834,88,4826,0.66,0.913,0
6422,37.0,post-graduate,single,<30k€,6,144,2,8666.0,red,3,0,71,3593,0.682,0.578,0
3531,54.0,graduate,divorced,<30k€,3,178,3,4090.0,red,3,2517,49,2016,0.562,0.69,1
6356,46.0,,married,70k€-110k€,5,115,3,12073.0,red,2,0,52,2400,0.541,0.793,1
8883,56.0,high school,single,<30k€,3,159,3,2755.0,red,1,1483,75,4394,0.806,0.63,0
6202,50.0,graduate,single,30k€-50k€,4,175,3,1438.3,red,1,0,77,4512,1.196,0.833,0
7785,43.0,uneducated,married,<30k€,5,165,2,6049.0,red,2,796,71,4468,0.821,0.511,0
2981,43.0,post-graduate,married,30k€-50k€,3,120,4,2533.0,red,3,1126,74,3436,0.788,0.574,0
7880,51.0,,married,30k€-50k€,4,175,3,13067.0,red,3,0,71,5468,1.061,0.775,1
3945,41.0,college,married,<30k€,6,95,3,7706.0,red,2,392,27,965,0.764,0.421,1
5881,52.0,uneducated,single,70k€-110k€,3,123,3,34516.0,red,2,0,28,1444,1.621,1.333,0
6668,57.0,graduate,single,,5,176,3,10351.0,red,2,1356,76,4572,0.828,1.054,0
4314,50.0,,married,,5,127,1,3668.0,red,3,0,76,4430,0.62,0.617,0
4106,37.0,,married,<30k€,4,105,3,8740.0,red,1,734,38,2169,1.072,0.652,0
835,45.0,graduate,divorced,<30k€,3,147,2,2391.0,red,2,1625,101,7649,0.662,0.603,0
1736,30.0,graduate,divorced,<30k€,4,149,2,3312.0,red,3,2491,50,2670,0.62,0.667,0
4012,43.0,,single,<30k€,6,148,3,1731.0,red,3,0,46,2304,0.529,1.0,1
4530,59.0,graduate,married,<30k€,2,147,2,5023.0,red,2,1857,98,14111,0.631,0.69,0
5287,52.0,,,50k€-70k€,4,178,3,8904.0,red,3,1886,65,3654,0.945,0.757,0
815,36.0,,divorced,,6,68,3,8513.0,red,3,0,70,4162,0.631,1.0,0
7574,58.0,high school,single,70k€-110k€,1,183,1,15030.0,red,6,1395,81,7603,0.625,0.588,0
10010,41.0,graduate,married,<30k€,4,149,2,2031.0,red,3,1720,32,2702,0.713,0.778,1
7557,40.0,phd,married,<30k€,6,124,2,3125.0,red,3,2041,68,4372,0.675,0.659,0
2755,27.0,high school,single,30k€-50k€,3,104,3,4493.0,red,2,1388,104,17744,0.795,0.763,0
3340,51.0,high school,single,<30k€,1,200,3,9678.0,red,2,1710,90,7682,0.745,0.579,0
3915,,uneducated,single,<30k€,5,146,2,2422.0,red,3,1014,44,2437,0.688,0.467,1
7022,42.0,college,single,50k€-70k€,3,146,2,4939.0,red,3,1296,43,2150,0.911,0.87,0
1604,45.0,graduate,single,+110k€,2,146,1,34516.0,red plus,2,1635,86,7219,0.768,0.564,0
628,55.0,graduate,single,30k€-50k€,4,147,3,2300.0,red,5,0,79,4527,0.655,0.756,0
814,43.0,graduate,married,<30k€,2,164,2,10677.0,red plus,5,0,94,8637,0.905,0.808,0
7660,51.0,graduate,married,70k€-110k€,3,167,5,2492.0,red,2,1668,32,1606,0.651,0.882,0
6836,49.0,,married,<30k€,4,153,3,5758.0,red,2,0,76,4422,0.433,0.407,0
6555,58.0,graduate,divorced,<30k€,4,185,4,1960.0,red,2,1690,67,3870,0.63,0.558,0
2781,42.0,,single,+110k€,4,124,3,11926.0,red,2,1766,84,3778,0.875,0.75,0
8680,44.0,high school,married,70k€-110k€,4,162,0,13490.0,red,2,1672,75,4205,0.799,0.415,0
9554,36.0,uneducated,single,50k€-70k€,3,56,3,4107.0,red,2,979,104,14596,0.647,0.733,0
511,54.0,graduate,single,<30k€,1,150,1,2830.0,red,3,1779,74,4854,0.883,0.947,0
10056,41.0,graduate,single,,4,110,3,4438.0,red,2,1513,75,3895,0.807,0.829,0
988,48.0,graduate,married,<30k€,2,147,2,3423.0,red,3,2186,120,14037,0.671,0.875,0
8335,52.0,graduate,single,<30k€,3,160,1,2847.0,red,2,2082,59,3672,0.787,0.553,0
458,,high school,single,<30k€,1,159,4,13092.0,red plus,0,1962,25,936,0.686,0.25,1
7035,42.0,uneducated,single,70k€-110k€,4,130,3,12094.0,red,3,0,90,8607,0.995,0.957,1
5181,,college,married,<30k€,4,147,1,1438.3,red,3,0,82,4913,0.743,0.822,0
7255,37.0,graduate,married,50k€-70k€,4,111,3,15186.0,red,2,0,33,1884,0.483,0.435,1
6619,46.0,graduate,married,<30k€,3,155,3,1513.0,red,3,788,71,4166,0.677,0.868,0
